nid,rank,global_index,id_trc,direction,score,backptr,backptr_id_trc
1,1,14,1604032,0,0.276195,2,1604043
1,2,13,1604037,1,0.276195,2,1604043
1,3,12,1604037,0,0.276195,1,1604037
1,4,11,1604043,1,0.125856,2,1604043
1,5,10,1604043,0,0.036404,3,1604043
1,6,15,1604032,1,0.009154,6,1604038
1,7,1,1604037,1,0.000000,2,1604043
1,8,0,1604037,0,0.000000,1,1604037
1,9,3,1604043,1,0.000000,4,1604032
1,10,2,1604043,0,0.000000,3,1604043
1,11,7,1604038,1,0.000000,8,1604038
1,12,6,1604038,0,0.000000,7,1604038
1,13,5,1604032,1,0.000000,6,1604038
1,14,4,1604032,0,0.000000,5,1604032
1,15,9,1604038,1,0.000000,6,1604038
1,16,8,1604038,0,0.000000,7,1604038
2,1,21,1604037,1,0.282536,14,1604032
2,2,20,1604037,0,0.282536,13,1604037
2,3,22,1604032,0,0.282536,14,1604032
2,4,19,1604043,1,0.110940,12,1604037
2,5,18,1604043,0,0.032090,11,1604043
2,6,23,1604032,1,0.009364,16,1604038
2,7,17,1604038,1,0.000000,10,1604043
2,8,16,1604038,0,0.000000,9,1604038
2,9,12,1604037,0,0.000000,13,1604037
2,10,14,1604032,0,0.000000,15,1604032
2,11,13,1604037,1,0.000000,14,1604032
2,12,11,1604043,1,0.000000,12,1604037
2,13,10,1604043,0,0.000000,11,1604043
2,14,15,1604032,1,0.000000,16,1604038
2,15,9,1604038,1,0.000000,10,1604043
2,16,8,1604038,0,0.000000,9,1604038
2,17,1,1604037,1,0.000000,2,1604043
2,18,0,1604037,0,0.000000,1,1604037
2,19,3,1604043,1,0.000000,4,1604032
2,20,2,1604043,0,0.000000,3,1604043
2,21,7,1604038,1,0.000000,8,1604038
2,22,6,1604038,0,0.000000,7,1604038
2,23,5,1604032,1,0.000000,6,1604038
2,24,4,1604032,0,0.000000,5,1604032
3,1,31,1604037,1,0.318559,22,1604032
3,2,28,1604032,0,0.318559,22,1604032
3,3,30,1604037,0,0.318559,21,1604037
3,4,27,1604043,1,0.026190,20,1604037
3,5,29,1604032,1,0.010558,24,1604038
3,6,26,1604043,0,0.007576,19,1604043
3,7,25,1604038,1,0.000000,18,1604043
3,8,24,1604038,0,0.000000,17,1604038
3,9,20,1604037,0,0.000000,21,1604037
3,10,21,1604037,1,0.000000,22,1604032
3,11,22,1604032,0,0.000000,23,1604032
3,12,19,1604043,1,0.000000,20,1604037
3,13,18,1604043,0,0.000000,19,1604043
3,14,23,1604032,1,0.000000,24,1604038
3,15,17,1604038,1,0.000000,18,1604043
3,16,16,1604038,0,0.000000,17,1604038
3,17,14,1604032,0,0.000000,15,1604032
3,18,13,1604037,1,0.000000,14,1604032
3,19,12,1604037,0,0.000000,13,1604037
3,20,11,1604043,1,0.000000,12,1604037
3,21,10,1604043,0,0.000000,11,1604043
3,22,15,1604032,1,0.000000,16,1604038
3,23,9,1604038,1,0.000000,10,1604043
3,24,8,1604038,0,0.000000,9,1604038
3,25,1,1604037,1,0.000000,2,1604043
3,26,0,1604037,0,0.000000,1,1604037
3,27,3,1604043,1,0.000000,4,1604032
3,28,2,1604043,0,0.000000,3,1604043
3,29,7,1604038,1,0.000000,8,1604038
3,30,6,1604038,0,0.000000,7,1604038
3,31,5,1604032,1,0.000000,6,1604038
3,32,4,1604032,0,0.000000,5,1604032
4,1,39,1604037,1,0.316118,32,1604038
